Season,Team,GP,G,A,P,+/-,PIM,PPG,PPP,SHG,SHP,TOI/G,GWG,OTG,S,S%,FO%,Player Name,Player ID,GS,W,L,T,OT,SA,GAA,SV%,SO,TOI
2012-13,Florida Panthers,11,1,0,1,-8,2,0,0,0,0,15:13,0,0,17,5.9,40.2,nick-bjugstad,8475760,,,,,,,,,,
2013-14,Florida Panthers,76,16,22,38,-14,16,0,3,1,2,16:13,4,0,185,8.6,48.9,nick-bjugstad,8475760,,,,,,,,,,
2014-15,Florida Panthers,72,24,19,43,-7,38,7,12,0,0,16:35,3,0,207,11.6,48.9,nick-bjugstad,8475760,,,,,,,,,,
2015-16,Florida Panthers,67,15,19,34,-8,41,6,15,0,0,15:31,3,0,171,8.8,51.7,nick-bjugstad,8475760,,,,,,,,,,
2016-17,Florida Panthers,54,7,7,14,-19,22,1,3,0,0,13:09,1,0,91,7.7,47.6,nick-bjugstad,8475760,,,,,,,,,,
2017-18,Florida Panthers,82,19,30,49,5,41,1,7,0,0,15:07,1,0,230,8.3,51,nick-bjugstad,8475760,,,,,,,,,,
2018-19,Florida Panthers,32,5,7,12,2,16,1,3,0,0,14:30,1,0,60,8.3,51,nick-bjugstad,8475760,,,,,,,,,,
2018-19,Pittsburgh Penguins,32,9,5,14,4,14,1,3,0,0,15:45,1,0,94,9.6,48.5,nick-bjugstad,8475760,,,,,,,,,,
2019-20,Pittsburgh Penguins,13,1,1,2,3,8,0,0,0,0,12:14,0,0,18,5.6,39.6,nick-bjugstad,8475760,,,,,,,,,,
2020-21,Minnesota Wild,44,6,11,17,7,17,0,1,0,0,11:49,3,0,78,7.7,46.3,nick-bjugstad,8475760,,,,,,,,,,
2021-22,Minnesota Wild,57,7,6,13,-2,20,1,1,0,0,10:16,0,0,81,8.6,55.3,nick-bjugstad,8475760,,,,,,,,,,
2022-23,Arizona Coyotes,59,13,10,23,7,26,1,1,1,1,16:59,0,0,111,11.7,47.2,nick-bjugstad,8475760,,,,,,,,,,
2022-23,Edmonton Oilers,19,4,2,6,6,8,0,0,0,0,13:45,1,0,34,11.8,50.4,nick-bjugstad,8475760,,,,,,,,,,
2023-24,Arizona Coyotes,76,22,23,45,11,59,2,6,1,1,17:27,2,1,165,13.3,49.2,nick-bjugstad,8475760,,,,,,,,,,
2024-25,Utah Hockey Club,7,0,2,2,0,2,0,0,0,0,13:29,0,0,10,0,50.7,nick-bjugstad,8475760,,,,,,,,,,
Career,,701,149,164,313,-13,330,21,55,3,4,14:59,20,1,1552,9.6,49,nick-bjugstad,8475760,,,,,,,,,,
2021-22,Arizona Coyotes,21,4,2,6,-8,14,0,0,0,0,12:19,0,0,36,11.1,0,michael-carcone,8479619,,,,,,,,,,
2022-23,Arizona Coyotes,9,2,1,3,3,2,0,0,0,0,12:39,0,0,15,13.3,0,michael-carcone,8479619,,,,,,,,,,
2023-24,Arizona Coyotes,74,21,8,29,-2,35,1,2,1,1,11:16,4,0,111,18.9,30.8,michael-carcone,8479619,,,,,,,,,,
2024-25,Utah Hockey Club,5,0,0,0,-2,0,0,0,0,0,11:29,0,0,7,0,0,michael-carcone,8479619,,,,,,,,,,
Career,,109,27,11,38,-9,51,1,2,1,1,11:36,4,0,169,16,19,michael-carcone,8479619,,,,,,,,,,
2023-24,Arizona Coyotes,82,20,24,44,-13,18,3,13,1,1,15:49,2,1,151,13.2,38,logan-cooley,8483431,,,,,,,,,,
2024-25,Utah Hockey Club,15,2,9,11,2,6,0,1,0,0,15:36,0,0,29,6.9,47.2,logan-cooley,8483431,,,,,,,,,,
